DATE,OPERATION_TYPE,SECTOR_FROM,SECTOR_TO,OFF_BLOCKS,TAKE_OFF,ON_GROUND,ON_BLOCKS,CYCLES,FLIGHT_HOURS,BLOCK_TIME,TOTAL_FLIGHT_HOURS,TOTAL_BLOCK_TIME,TOTAL_CYCLES
30-Dec-05,NIGHT,LIM,LIM,22:06,22:22,23:30,23:34,1,1:08,1:28,1:08,1:28,1
06-Jan-06,NIGHT,LIM,PTY,23:39,23:51,2:02,2:24,1,2:11,2:45,3:19,4:13,2
07-Jan-06,NIGHT,PTY,ACA,4:16,4:24,7:52,7:56,1,3:28,3:40,6:47,7:53,3
07-Jan-06,NIGHT,ACA,TUS,9:40,9:51,12:58,13:07,1,3:07,3:27,9:54,11:20,4
09-Jan-06,NIGHT,TUS,SEA,0:31,0:38,3:52,3:55,1,3:14,3:24,13:08,14:44,5
09-Jan-06,NIGHT,SEA,ANC,5:29,5:45,9:12,9:18,1,3:27,3:49,16:35,18:33,6
10-Jan-06,NIGHT,ANC,DYR,21:00,21:16,23:44,23:49,1,2:28,2:49,19:03,21:22,7
11-Jan-06,NIGHT,DYR,PKC,0:41,0:50,3:35,3:41,1,2:45,3:00,21:48,24:22,8
11-Jan-06,NIGHT,PKC,KIJ,6:56,7:11,10:35,10:40,1,3:24,3:44,25:12,28:06,9
11-Jan-06,NIGHT,KIJ,TPE,11:17,11:23,15:07,15:09,1,3:44,3:52,28:56,31:58,10
12-Jan-06,NIGHT,TPE,CRK,16:15,16:27,18:08,18:15,1,1:41,2:00,30:37,33:58,11
24-Jan-06,NIGHT,CRK,MNL,14:51,14:55,15:19,15:23,1,0:24,0:32,31:01,34:30,12
24-Jan-06,NIGHT,MNL,CRK,16:36,16:52,17:20,17:25,1,0:28,0:49,31:29,35:19,13
25-Jan-06,NIGHT,CRK,MNL,12:45,12:53,13:30,13:30,1,0:37,0:45,32:06,36:04,14
25-Jan-06,NIGHT,MNL,CRK,13:30,13:37,14:06,14:08,1,0:29,0:38,32:35,36:42,15
08-Mar-06,NIGHT,CRK,MNL,2:23,2:32,2:55,2:58,1,0:23,0:35,32:58,37:17,16
08-Mar-06,NIGHT,MLA,ROR,8:04,8:42,11:13,11:18,1,2:31,3:14,35:29,40:31,17
08-Mar-06,NIGHT,ROR,DVO,13:34,13:38,15:15,15:20,1,1:37,1:46,37:06,42:17,18
08-Mar-06,NIGHT,DVO,SFS,15:50,15:55,17:29,17:36,1,1:34,1:46,38:40,44:03,19
08-Mar-06,NIGHT,SFS,CRK,18:53,18:58,19:25,19:30,1,0:27,0:37,39:07,44:40,20
16-Mar-06,NIGHT,CRK,MNL,6:29,6:37,6:57,7:02,1,0:20,0:33,39:27,45:13,21
16-Mar-06,NIGHT,MNL,ROR,8:35,8:46,11:15,11:21,1,2:29,2:46,41:56,47:59,22
16-Mar-06,NIGHT,ROR,DVO,14:21,14:25,16:04,16:08,1,1:39,1:47,43:35,49:46,23
16-Mar-06,NIGHT,DVO,SFS,16:40,16:50,18:23,18:29,1,1:33,1:49,45:08,51:35,24
16-Mar-06,NIGHT,SFS,CRK,19:10,19:14,19:39,19:47,1,0:25,0:37,45:33,52:12,25
