DATE,CYCLE,TAC,FLT TIME Hrs,FLT TIME Mins,FLT TIME Dur,TAT Hrs,TAT Mins,TAT Dur,BLOCK Hrs,BLOCK Mins,BLOCK Dur,TOT BLOCK hrs,TOT BLOCK Mins,TOT BLOCK Dur
30-Dec-05,1,42255,1,:08,,45439,:31,,1,:28,,1,:28,
06-Jan-05,1,42256,2,:11,,45441,:42,,2,:45,,4,:13,
07-Jan-06,2,42258,6,:35,,45448,:17,,7,:07,,11,:20,
09-Jan-06,2,42260,6,:41,,45454,:58,,7,:13,,18,:33,
10-Jan-06,1,42261,2,:28,,45457,:26,,2,:49,,21,:22,
11-Jan-06,3,42264,9,:53,,45467,:19,,10,:36,,31,:58,
12-Jan-06,1,42265,1,:41,,45469,:00,,2,:00,,33,:58,
24-Jan-06,2,42267,0,:52,,45469,:52,,1,:21,,35,:19,
25-Jan-06,2,42269,1,:06,,45470,:58,,1,:23,,36,:42,
08-Mar-06,5,42274,6,:32,,45477,:30,,7,:58,,44,:40,
16-Mar-06,5,42279,6,:26,,45483,:56,,7,:32,,52,:12,
07-Apr-06,4,42283,6,:08,,45490,:04,,7,:04,,59,:16,
17-Apr-06,5,42288,7,:26,,45497,:30,,8,:10,,67,:26,
18-Apr-06,4,42292,5,:44,,45503,:14,,6,:36,,74,:02,
19-Apr-06,4,42296,5,:30,,45508,:44,,6,:14,,80,:16,
20-Apr-06,4,42300,6,:09,,45514,:53,,6,:53,,87,:09,
21-Apr-06,4,42304,5,:52,,45520,:45,,6,:43,,93,:52,
22-Apr-06,1,42305,1,:43,,45522,:28,,1,:52,,95,:44,
25-Apr-06,4,42309,6,:13,,45528,:41,,7,:00,,102,:44,
26-Apr-06,4,42313,6,:26,,45535,:07,,7,:11,,109,:55,
27-Apr-06,4,42317,6,:19,,45541,:26,,7,:10,,117,:05,
28-Apr-06,4,42321,6,:30,,45547,:56,,7,:08,,124,:13,
29-Apr-06,4,42325,6,:02,,45553,:58,,7,:01,,131,:14,
30-Apr-06,2,42327,3,:00,,45556,:58,,3,:33,,134,:47,
08-Aug-06,1,42328,0,:07,,45557,:05,,0,:25,,135,:12,
09-Aug-06,1,42329,0,:13,,45557,:18,,0,:25,,135,:37,
19-Sep-06,1,42330,0,:06,,45557,:24,,0,:29,,136,:06,
20-Sep-06,1,42331,0,:40,,45558,:04,,0,:50,,136,:56,
21-Sep-06,2,42333,1,:05,,45559,:09,,1,:31,,138,:27,
04-Oct-06,1,42334,0,:25,,45559,:34,,0,:50,,139,:17,
06-Oct-06,,42334,0,:00,,45559,:34,,0,:23,,139,:40,
09-Oct-06,1,42335,0,:40,,45560,:14,,1,:00,,140,:40,
