DATE,OPERATION,SECTOR FROM,SECTOR TO,OFF BLOCKS,TAKE OFF,ON GROUND,ON BLOCKS,CYCLE,FH(HOURS),FH(MINUTES),FLIGHT HOURS,BT(HOURS),BT(MINUTES),BLOCK TIME,TFH(HOURS),TFH(MINUTES),TOTAL FLYING HOURS,TOTB(HOURS),TOTB(MINUTES),TOTAL BLOCK TIME,TOTAL CYCLE
30-Dec-05,N,LIM,LIM,22:06,22:22,23:30,23:34,1,1,:08,,1,:28,,1,:08,,1,:28,,1
,,,,,,,,0,0,:00,,0,:00,,1,:08,,1,:28,,1
,,,,,,,,0,0,:00,,0,:00,,1,:08,,1,:28,,1
,,,,,,,,0,0,:00,,0,:00,,1,:08,,1,:28,,1
,,,,,,,,0,0,:00,,0,:00,,1,:08,,1,:28,,1
,,,,,,,,0,0,:00,,0,:00,,1,:08,,1,:28,,1
,,,,,,,,0,0,:00,,0,:00,,1,:08,,1,:28,,1
,,,,,,,,0,0,:00,,0,:00,,1,:08,,1,:28,,1
,,,,,,,,0,0,:00,,0,:00,,1,:08,,1,:28,,1
,,,,,,,,0,0,:00,,0,:00,,1,:08,,1,:28,,1
,,,,,,,,0,0,:00,,0,:00,,1,:08,,1,:28,,1
,,,,,,,,0,0,:00,,0,:00,,1,:08,,1,:28,,1
,,,,,,,,0,0,:00,,0,:00,,1,:08,,1,:28,,1
,,,,,,,,0,0,:00,,0,:00,,1,:08,,1,:28,,1
T0TAL,wala,,total for the day,,,,,1,1,:08,,1,:28,,1,:08,,1,:28,,1
06-Jan-06,N,LIM,PTY,23:39,23:51,2:02,2:24,1,2,:11,,2,:45,,3,:19,,4,:13,,2
,,,,,,,,0,0,:00,,0,:00,,3,:19,,4,:13,,2
,,,,,,,,0,0,:00,,0,:00,,3,:19,,4,:13,,2
,,,,,,,,0,0,:00,,0,:00,,3,:19,,4,:13,,2
,,,,,,,,0,0,:00,,0,:00,,3,:19,,4,:13,,2
,,,,,,,,0,0,:00,,0,:00,,3,:19,,4,:13,,2
,,,,,,,,0,0,:00,,0,:00,,3,:19,,4,:13,,2
,,,,,,,,0,0,:00,,0,:00,,3,:19,,4,:13,,2
,,,,,,,,0,0,:00,,0,:00,,3,:19,,4,:13,,2
,,,,,,,,0,0,:00,,0,:00,,3,:19,,4,:13,,2
,,,,,,,,0,0,:00,,0,:00,,3,:19,,4,:13,,2
,,,,,,,,0,0,:00,,0,:00,,3,:19,,4,:13,,2
,,,,,,,,0,0,:00,,0,:00,,3,:19,,4,:13,,2
,,,,,,,,0,0,:00,,0,:00,,3,:19,,4,:13,,2
T0TAL,wala,,total for the day,,,,,1,2,:11,,2,:45,,3,:19,,4,:13,,2
07-Jan-06,N,PTY,ACA,4:16,4:24,7:52,7:56,1,3,:28,,3,:40,,6,:47,,7,:53,,3
